Feature,Coefficient
Exterior1st_BrkComm,-5874.344444090542
HeatingQC_Gd,-6133.549155054621
Exterior1st_Plywood,-6214.143418044886
BsmtFinType2_BLQ,-6218.669357501604
Functional_Min1,-7426.966893365424
Exterior1st_CemntBd,-7427.910112644733
Neighborhood_SawyerW,-7473.343498917047
Neighborhood_Timber,-7589.852381481236
KitchenAbvGr,-7658.738340534471
Neighborhood_SWISU,-7716.780954469024
HouseStyle_2Story,-8094.181907137695
ExterQual_Fa,-8134.173013179163
Neighborhood_CollgCr,-8486.161503008654
BsmtFinType2_LwQ,-8549.032330179403
LotConfig_FR2,-9212.676205776204
Functional_Mod,-9414.215810045369
Exterior2nd_Stucco,-9794.64840738852
GarageCond_Gd,-10311.558875546525
Condition1_RRAe,-10479.583086650964
Exterior1st_HdBoard,-11005.391444379653
HeatingQC_Po,-11043.258187346859
Foundation_Wood,-11066.600571196086
Neighborhood_Sawyer,-11423.93214077015
Exterior1st_Wd Sdng,-11456.664191159089
Exterior1st_VinylSd,-11521.384930486347
Neighborhood_Gilbert,-11749.90150030858
Exterior2nd_AsphShn,-12019.336055488708
ExterQual_Gd,-12473.426700713935
Neighborhood_MeadowV,-12474.489337901836
Functional_Maj2,-12887.462610601335
ExterQual_TA,-13216.558500136725
Neighborhood_IDOTRR,-13459.46112269284
GarageCond_TA,-13883.00551604539
Foundation_Slab,-13999.60124285278
Neighborhood_OldTown,-14333.034250741388
RoofMatl_Metal,-14961.492102853917
Exterior2nd_Brk Cmn,-14973.633477633914
LotShape_IR3,-15306.315323445651
GarageCond_Fa,-15638.861831398597
Neighborhood_ClearCr,-16494.954809440973
Neighborhood_NAmes,-17155.23226646438
Exterior1st_WdShing,-17295.253463287852
BldgType_Duplex,-17969.178947314747
Neighborhood_Edwards,-18009.737263812116
Exterior1st_Stucco,-18702.312062579393
GarageQual_TA,-18737.589728766983
Exterior2nd_Stone,-18744.576968175847
BsmtQual_Fa,-19599.69891393116
BldgType_TwnhsE,-20139.134503740675
Neighborhood_NWAmes,-20222.9745853465
KitchenQual_Fa,-20230.726711165145
Neighborhood_Mitchel,-20693.111802326483
GarageQual_Po,-21174.136374250967
Exterior2nd_Other,-23034.584192139933
LotConfig_FR3,-23761.04675637143
BldgType_Twnhs,-24610.220445259813
GarageQual_Fa,-24666.036429280117
BsmtQual_TA,-25676.128216035766
BsmtQual_Gd,-26458.80748486511
KitchenQual_Gd,-27382.902651376884
KitchenQual_TA,-29135.790131030564
LandSlope_Sev,-29422.185048710246
Exterior1st_ImStucc,-30309.841926893867
RoofStyle_Mansard,-31576.35987189967
MiscFeature_TenC,-38381.43673638808
GarageCond_Po,-38612.16515613039
Utilities_NoSeWa,-52161.10873653543
RoofStyle_Gambrel,-57503.325329907886
RoofStyle_Hip,-62668.87354398705
RoofStyle_Gable,-64781.552418009065
Condition2_RRAe,-80251.57864771556
Functional_Sev,-100166.64547699773
PoolQC_Fa,-114783.98032304335
Condition2_PosN,-136623.60155756955
PoolQC_Gd,-287358.64291172056
